Respondent_ID,Gender,Age_Group,Experience_Years,Employment_Sector,Current_Monthly_Salary,Salary_Adequacy,Salary_Adequacy_score,Income_Expenditure,Debt_Status,Food & Groceries,Food_score_Num,Transport_Score,Transportataion_score_Num,Healthcare_score,Healthcare_score_Num,Savings_Behaviour,Coping_Strategy
101,Female,46 and above,3 years and above,NGO / International Organisation,"Above #500,000","It covers much less than before, I struggle significantly",4,More than 90%,"No, I have managed without borrowing or depleting savings",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,My savings have remained roughly the same,Cutting back on non-essential spending
102,Female,46 and above,3 years and above,NGO / International Organisation,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
103,Female,46 and above,3 years and above,NGO / International Organisation,"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Severely Affected,4,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
104,Female,46 and above,3 years and above,NGO / International Organisation,"#151,000 - #300,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Borrowing money or taking loans
105,Female,36-45,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Moderately Affected,3,Severely Affected,4,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
106,Male,46 and above,3 years and above,Self-employed but on a fixed monthly salary,"Below #50,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Severely Affected,4,Severely Affected,4,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
107,Male,46 and above,3 years and above,NGO / International Organisation,"#50,000 - #150,000",It covers about the same as before,2,More than 90%,"Yes, occasionally, I borrow when things get too tight",Moderately Affected,3,Moderately Affected,3,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Taking on an additional job or side hustle
108,Male,46 and above,3 years and above,Private sector,"#301,000 - #500,000","It covers more than before, my situation has improved",1,More than 90%,"No, but I have completely depleted my savings to cope",Moderately Affected,3,Moderately Affected,3,Not Affected at all,0,My savings have remained roughly the same,Drawing down on existing savings or investments
109,Female,26-35,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,More than 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Extremely Affected,5,Severely Affected,4,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
110,Female,26-35,3 years and above,Public sector (Government/Civil Service),"#50,000 - #150,000","It covers much less than before, I struggle significantly",4,71% - 90%,"Yes, regularly, I borrow almost every month",Extremely Affected,5,Slightly Affected,2,Moderately Affected,3,"I have completely stopped saving , there is nothing left to save",Reducing food quantity or quality
